cpu
Epoch 1, Loss: 2.282519578933716
Epoch 2, Loss: 2.2709100246429443
Epoch 3, Loss: 2.2578604221343994
Epoch 4, Loss: 2.242948055267334
Epoch 5, Loss: 2.2255654335021973
Epoch 6, Loss: 2.2094500064849854
Epoch 7, Loss: 2.1886420249938965
Epoch 8, Loss: 2.167642116546631
Epoch 9, Loss: 2.1429131031036377
Epoch 10, Loss: 2.1177453994750977
Epoch 11, Loss: 2.088270664215088
Epoch 12, Loss: 2.0586037635803223
Epoch 13, Loss: 2.0251126289367676
Epoch 14, Loss: 1.9924423694610596
Epoch 15, Loss: 1.9568595886230469
Epoch 16, Loss: 1.9199087619781494
Epoch 17, Loss: 1.8870594501495361
Epoch 18, Loss: 1.8563451766967773
Epoch 19, Loss: 1.8299436569213867
Epoch 20, Loss: 1.8107070922851562
Epoch 21, Loss: 1.7954952716827393
Epoch 22, Loss: 1.7847461700439453
Epoch 23, Loss: 1.7816063165664673
Epoch 24, Loss: 1.779071569442749
Epoch 25, Loss: 1.7799278497695923
Epoch 26, Loss: 1.7837806940078735
Epoch 27, Loss: 1.7871110439300537
Epoch 28, Loss: 1.7912054061889648
Epoch 29, Loss: 1.795935034751892
Epoch 30, Loss: 1.7986513376235962
